Sample #,Time diff,Exp Time,Glucose (g/L),Malic  (g/L),Pyruvic  (g/L),Succinic  (g/L),Lactic (g/L),Glycerol  (g/L),Fumaric  (g/L),Ethanol  (g/L)
0,0.00,0.00,0,0,0,0,0,0,0,0
R 7.51,12.00,12.00,4.09E-02,0,4.74E-02,1.24E-02,6.15E-03,0,0,0
R 7.52,0,12.00,4.75E-02,0,4.93E-02,1.50E-02,5.82E-03,0,0,0
R 8.51,12,24.00,6.22E-02,0,4.49E-02,4.47E-02,0,0,0,4.16E-02
R 8.52,0,24.00,6.39E-02,0,4.82E-02,4.39E-02,5.68E-03,0,0,2.43E-03
R 9.51,12,36.00,5.41E-02,2.70E-02,4.55E-02,7.19E-02,8.39E-03,0,5.31E-02,7.43E-02
R 9.52,0.00,36.00,5.50E-02,3.72E-02,4.63E-02,7.21E-02,0,0,5.42E-02,0.00E+00
R 10.51,12.00,48.00,0,0,2.82E-02,9.54E-02,0,0,0,0.00E+00
R 10.52,0,48.00,4.50E-02,3.41E-02,4.63E-02,1.13E-01,0,0,5.90E-02,1.15E-01
R 11.51,12,60.00,4.28E-01,1.11E-01,4.80E-02,1.76E-01,8.41E-03,0,7.93E-02,6.34E-02
R 11.52,0,60.00,4.43E-01,1.17E-01,4.69E-02,1.84E-01,8.41E-04,0,8.11E-02,4.75E-02
R 12.51,12,72.00,2.79E-01,3.44E-01,5.74E-02,2.50E-01,1.51E-02,0,2.02E-01,4.28E-01
R 12.52,0.00,72.00,2.84E-01,3.46E-01,5.96E-02,2.54E-01,1.43E-02,0,1.99E-01,2.75E-01
R 13.51,12.00,84.00,1.69E-01,2.73E-01,7.04E-02,4.45E-01,3.67E-02,0,1.64E-01,1.55E-01
R 13.52,0,84.00,1.61E-01,2.72E-01,7.44E-02,4.27E-01,2.87E-02,0,1.54E-01,1.84E-01
R 14.51,12,96.00,1.76E-01,7.07E-02,6.59E-02,5.30E-01,3.13E-02,0,7.28E-02,2.13E-01
R 14.52,0,96.00,1.80E-01,6.70E-02,5.89E-02,5.18E-01,3.86E-02,0,8.01E-02,2.76E-01
R 15.51,12,108.00,2.08E-01,4.89E-02,6.13E-02,4.01E-01,2.02E-02,0,7.53E-02,1.59E-01
R 15.52,0.00,108.00,2.11E-01,5.42E-02,5.97E-02,3.96E-01,2.35E-02,0,6.39E-02,1.58E-01
R 16.51,12.00,120.00,2.52E-01,4.17E-02,5.47E-02,3.05E-01,1.13E-02,0,6.76E-02,2.30E-01
R 16.52,0,120.00,2.54E-01,3.79E-02,5.74E-02,3.11E-01,1.17E-02,0,6.57E-02,1.99E-01
